Key,Value,Category,Comment
amenity,community_centre,Entertainment,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. ."
amenity,gambling,Entertainment,"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre."
amenity,nightclub,Entertainment,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub."
amenity,planetarium,Entertainment,A planetarium.
amenity,social_centre,Entertainment,A place for free and not-for-profit activities.
amenity,studio,Entertainment,TV radio or recording studio
amenity,theatre,Entertainment,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters."
amenity,animal_boarding,Others,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)"
amenity,animal_shelter,Others,A shelter that recovers animals in trouble
amenity,childcare,Others,A place where children of different ages are looked after which is not an amenity=kindergarten or preschool.
amenity,conference_centre,Others,A large building that is used to hold a convention
amenity,courthouse,Others,"A building home to a court of law, where justice is dispensed"
amenity,crematorium,Others,A place where dead human bodies are burnt
amenity,dive_centre,Others,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.
amenity,embassy,Others,"An embassy, consulate or diplomatic office. Also see office=diplomatic"
amenity,fire_station,Others,A station of a fire brigade
amenity,grave_yard,Others,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead."
amenity,gym,Others,Deprecated. Use leisure=fitness_centre or leisure=sports_centre instead. A place which houses exercise equipment for the purpose of physical exercise.
amenity,marketplace,Others,A marketplace where goods and services are traded daily or weekly.
amenity,monastery,Others,Monastery is the location of a monastery or a building in which monks and nuns live.
amenity,place_of_worship,Others,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details."
amenity,police,Others,A police station where police officers patrol from and that is a first point of contact for civilians
amenity,post_office,Others,Post office building with postal services
amenity,prison,Others,A prison or jail where people are incarcerated before trial or after conviction
amenity,public_building,Others,A generic public building. Don't use! See office=government.
amenity,ranger_station,Others,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc"
amenity,refugee_site,Others,A human settlement sheltering refugees or internally displaced persons
amenity,sauna,Others,Deprecated. For sauna use: leisure=sauna
amenity,townhall,Others,"Building where the administration of a village, town or city may be located, or just a community meeting place"
amenity,waste_transfer_station,Others,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk."
shop,convenience,Shop,A small local shop carrying a small subset of the items you would find in a supermarket
shop,supermarket,Shop,Supermarket – a large store with groceries and other items
shop,department_store,Store,A single large store – often multiple storeys high – selling a large variety of goods (see also shop=mall)
shop,general,Store,A store that carries a general line of merchandise. (see also shop=convenience if it sells food).
